"unique_id","CalDate","binomial","DailyCount","genus","year","month"
"00110R",2003-07-02,"Drepanosiphum platanoidis",3,"Drepanosiphum",2003,7
"00110R",2003-07-02,"Euceraphis punctipennis",15,"Euceraphis",2003,7
"00110R",2003-07-02,"Metopolophium dirhodum",2,"Metopolophium",2003,7
"00110R",2003-07-02,"Phyllaphis fagi",2,"Phyllaphis",2003,7
"00110R",2003-07-02,"Sitobion avenae",2,"Sitobion",2003,7
"00110R",2003-07-02,"Tuberculatus annulatus",1,"Tuberculatus",2003,7
"00110R",2003-07-02,"Utamphorophora humboldti",1,"Utamphorophora",2003,7
"00114R",2003-08-05,"Aphis spp",1,"Aphis",2003,8
"00114R",2003-08-05,"Drepanosiphum platanoidis",13,"Drepanosiphum",2003,8
"00114R",2003-08-05,"Hyadaphis foeniculi",1,"Hyadaphis",2003,8
"00114R",2003-08-05,"Hyalopterus pruni",1,"Hyalopterus",2003,8
"00114R",2003-08-05,"Pterocallis alni",1,"Pterocallis",2003,8
"00114R",2003-08-05,"Rhopalosiphum oxyacanthae",15,"Rhopalosiphum",2003,8
"00114R",2003-08-05,"Rhopalosiphum padi",3,"Rhopalosiphum",2003,8
"00114R",2003-08-05,"Sitobion avenae",1,"Sitobion",2003,8
"00116R",2003-08-16,"Anoecia corni",1,"Anoecia",2003,8
"00116R",2003-08-16,"Aphis fabae gp.",2,"Aphis",2003,8
"00116R",2003-08-16,"Drepanosiphum platanoidis",1,"Drepanosiphum",2003,8
"00116R",2003-08-16,"Hyalopterus pruni",1,"Hyalopterus",2003,8
"00116R",2003-08-16,"Myzus persicae",1,"Myzus",2003,8
"00116R",2003-08-16,"Pterocallis alni",4,"Pterocallis",2003,8
"00116R",2003-08-16,"Rhopalosiphum oxyacanthae",19,"Rhopalosiphum",2003,8
"00116R",2003-08-16,"Rhopalosiphum padi",9,"Rhopalosiphum",2003,8
"00116R",2003-08-16,"Sitobion avenae",2,"Sitobion",2003,8
"00116R",2003-08-16,"Utamphorophora humboldti",1,"Utamphorophora",2003,8
"00119R",2003-09-10,"Brachycaudus helichrysi",2,"Brachycaudus",2003,9
"00119R",2003-09-10,"Brevicoryne brassicae",1,"Brevicoryne",2003,9
"00119R",2003-09-10,"Drepanosiphum platanoidis",8,"Drepanosiphum",2003,9
"00119R",2003-09-10,"Eriosoma spp",1,"Eriosoma",2003,9
"00119R",2003-09-10,"Pemphigus spp",3,"Pemphigus",2003,9
"00119R",2003-09-10,"Rhopalosiphum oxyacanthae",24,"Rhopalosiphum",2003,9
"00119R",2003-09-10,"Rhopalosiphum padi",24,"Rhopalosiphum",2003,9
"00119R",2003-09-10,"Sitobion avenae",3,"Sitobion",2003,9
